ruta_original,url,sha256,adquirido_utc,snapshot,redistribucion
data/source_archive/open_food_facts/3059940006976.json,https://world.openfoodfacts.org/api/v3.6/product/3059940006976.json,5d8e573932a7335e4d3f27d21d38abc443879e4e2c0f96282a0f7a9abdb7e0df,2026-09-06T22:56:46.000181+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3086123170629.json,https://world.openfoodfacts.org/api/v3.6/product/3086123170629.json,0391bfa6c8ebbcd8c32a04e72e7fd2ddf4c31c8077e5304af7f1b5e7858a2aa0,2026-09-06T22:56:50.984172+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3123930711758.json,https://world.openfoodfacts.org/api/v3.6/product/3123930711758.json,6e5801a73a0beaf7124302ab324b558e0d22794a5ad8e97b5d3c4c48ef89ff5f,2026-09-05T19:36:08.642901+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3165959213028.json,https://world.openfoodfacts.org/api/v3.6/product/3165959213028.json,211e36bf2792ead092a9301b7f45bcdb8033e2dc0fc9a4c394665ad8fbd7fb7d,2026-09-06T22:56:56.295961+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3183811008117.json,https://world.openfoodfacts.org/api/v3.6/product/3183811008117.json,875e5c0a681fe65d6cbed50d96ab72617d082823628cc689b523cc663d376db4,2026-09-06T22:57:01.625345+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3220035229611.json,https://world.openfoodfacts.org/api/v3.6/product/3220035229611.json,2d886b3652dcce1dc85336eb81d739ae10e498acf96c7600c57c78eb69bcf61f,2026-09-05T19:36:28.786097+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3220035570003.json,https://world.openfoodfacts.org/api/v3.6/product/3220035570003.json,fe0d85b923ed8cc5ab0b4b170fb967f64a6c15175eec3023d52e0fe1559a1b2b,2026-09-05T19:37:08.775117+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3222471055113.json,https://world.openfoodfacts.org/api/v3.6/product/3222471055113.json,0ff927686f202acd17f237c6d0bced14a9c27c80c5186c9fb1f4ce12a12516ef,2026-09-06T22:57:07.177192+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3240931548135.json,https://world.openfoodfacts.org/api/v3.6/product/3240931548135.json,b04956fb72164d0aa169caa42e9bfdbb13617cfbe2044d789ec498de0fa4d998,2026-09-06T22:57:12.552522+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3242272981053.json,https://world.openfoodfacts.org/api/v3.6/product/3242272981053.json,fcc59ea98d64c203ad1d9e0958086b8c4d79741d9fe17bbae4d0b561a39c5f92,2026-09-06T22:57:17.880756+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3250390145912.json,https://world.openfoodfacts.org/api/v3.6/product/3250390145912.json,43aa3b64e5898ccfbb75b6171ba333e91f4adfc9cf7db78d49cb0836e00f26ee,2026-09-06T22:57:23.053635+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3250390523970.json,https://world.openfoodfacts.org/api/v3.6/product/3250390523970.json,974c79f188174fc78eed4fe6939231a0865b3918a7a59bd68d73b9bbe9b3887f,2026-09-05T19:36:48.578165+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3250390564843.json,https://world.openfoodfacts.org/api/v3.6/product/3250390564843.json,ff05eb6595d81da6c2c979b788b806c329749b1c665397a36436f95bb6f37e8e,2026-09-06T22:57:28.415793+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3250391980253.json,https://world.openfoodfacts.org/api/v3.6/product/3250391980253.json,89bc1f82d0fb5c0176e88354cc2acd19a53c87a3289fd1bb1d9c9b4195de8cb4,2026-09-05T19:36:58.641522+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3250392335137.json,https://world.openfoodfacts.org/api/v3.6/product/3250392335137.json,474788863f569cdbd0815735a64b51ea4b043be12d00555ec96c2aff8fe00533,2026-09-05T19:36:38.710955+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3250392404499.json,https://world.openfoodfacts.org/api/v3.6/product/3250392404499.json,00d42f16781b7da919efea3ca74251a555a48ed4f339cdfc927f50840c6234a7,2026-09-05T19:36:53.722895+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3256223264768.json,https://world.openfoodfacts.org/api/v3.6/product/3256223264768.json,f277c32316fd1acb5304c6e39a206a55a6c5487ae830b7a15737ff153f1b9a02,2026-09-06T22:57:33.757191+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3256224255017.json,https://world.openfoodfacts.org/api/v3.6/product/3256224255017.json,81b66f20413d062b6a7737d2826aca2311d95374ade3133be3ec7904307bce1c,2026-09-06T22:57:39.117822+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3256228195487.json,https://world.openfoodfacts.org/api/v3.6/product/3256228195487.json,6c8577ef0db2e4d37c148fd3bbe605cfd91fd602a7905928a6daea112334f8e1,2026-09-06T22:57:44.435876+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3266140053581.json,https://world.openfoodfacts.org/api/v3.6/product/3266140053581.json,268db8cef48b91af093cc67326b7e1bf962d7ddb25b169dcb6d730d6c8618796,2026-09-06T22:57:49.808962+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3270190023524.json,https://world.openfoodfacts.org/api/v3.6/product/3270190023524.json,c5e067c3b9a6d768d495e6bb10d8ccb5832849df2bf4cf1e12b09a6050ea9743,2026-09-06T22:57:55.173339+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
data/source_archive/open_food_facts/3273220530375.json,https://world.openfoodfacts.org/api/v3.6/product/3273220530375.json,6ded435720592454a2d9667c61e7fdd74a5e134d1f4d2505a20e41f9f80fbf8d,2026-09-06T22:58:00.345507+00:00,,ORIGINAL_EXCLUIDO_PROYECCION_DERIVADA
