price_id,product_code,off_source_sha256,proof_id,proof_metadata_sha256,core_source_sha256
355,3423182102411,d0db609e5c045e822adffddf1c76db2d871627f5ea815751fcd0216e91ad4014,9880,,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
655,3760020507916,d9cea108ffaf5dd04b2e00df5ad1901015599cd34b55021ed1fc14aee7cff222,9880,,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
999,3443431503004,c126eff15c206b04bbf51f37494d9d7315ce39955a20846a7f0aba6a573413df,1,ed4ac3816ec57380b354c1453b65e57903752df7c6462a8890b568102277ec64,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
1000,3456300014556,28163a9aa69ae9dc57a947e50ab8cfa93c424eb067341d182af5a868ba9d1823,2,1f6513ce0868adfd6c701b0c880f853319edd5e64d1881dca7d3880cd33381ac,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
1001,3760020507916,d9cea108ffaf5dd04b2e00df5ad1901015599cd34b55021ed1fc14aee7cff222,3,,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
1096,3456300014556,28163a9aa69ae9dc57a947e50ab8cfa93c424eb067341d182af5a868ba9d1823,83,,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
1108,3456300014556,28163a9aa69ae9dc57a947e50ab8cfa93c424eb067341d182af5a868ba9d1823,95,,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
1109,3760020507916,d9cea108ffaf5dd04b2e00df5ad1901015599cd34b55021ed1fc14aee7cff222,96,,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
1124,3760020507916,d9cea108ffaf5dd04b2e00df5ad1901015599cd34b55021ed1fc14aee7cff222,112,,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
1125,3456300014556,28163a9aa69ae9dc57a947e50ab8cfa93c424eb067341d182af5a868ba9d1823,113,,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
1142,3456300014556,28163a9aa69ae9dc57a947e50ab8cfa93c424eb067341d182af5a868ba9d1823,133,,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
1143,3760020507916,d9cea108ffaf5dd04b2e00df5ad1901015599cd34b55021ed1fc14aee7cff222,134,,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
1438,2006050063055,985f87620375ca54d57583808134f9610ba96d1b751e0ca789e2061b979d1940,445,19a0ae8bb095b9c33143b864b727c5285b184f8a04a3f01fbdae182561179158,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
1439,2006050027217,25ebe2c0664dc0fc8864070dfad6367cc162c91b9b304e971c8569662b6e7b92,446,7a8b83420bc79d944bd2db7d54e6d91d7301a5b643ed77cc7da00691450c663f,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
2457,3456300014556,28163a9aa69ae9dc57a947e50ab8cfa93c424eb067341d182af5a868ba9d1823,1467,,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
5101,5000112611878,f41cd3f2dade88d4268353353d5dbf52f2025a396d4f4a709efe3ac9ab99291f,2377,,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
5108,3456300014556,28163a9aa69ae9dc57a947e50ab8cfa93c424eb067341d182af5a868ba9d1823,2382,,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
5110,3760020507916,d9cea108ffaf5dd04b2e00df5ad1901015599cd34b55021ed1fc14aee7cff222,2382,,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
5268,3770018078151,d3b2de87961cdb4eaa4161956fe1fcc83469f0fe7c6ee05e5f930f9de9c32413,2414,539df9f50bd6f5808dc5daadbc4d4fbcd58d2a2a8cfde3c91d4b93c220c02766,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
5567,3456300014556,28163a9aa69ae9dc57a947e50ab8cfa93c424eb067341d182af5a868ba9d1823,2660,,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
5845,3038353911909,f713a2cd4d3b4ebb3c936eb81b23522946973d2ee987128fbcd7a3779bc34b1c,2919,,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
5950,5000112611878,f41cd3f2dade88d4268353353d5dbf52f2025a396d4f4a709efe3ac9ab99291f,3006,,810cdd8a91f2858188f8b870b13949b83af65bd19b657f62a6e9386976e4d816
