price_id,price_type,product_code,category_tag,price,price_per,currency,date,location_id,proof_id,proof_type,country,city,qc_price_positive,qc_currency_present,qc_date_present,qc_date_not_future,qc_date_valid,qc_proof_present,qc_proof_visual,qc_product_identity,qc_core_eligible,product_name,brands,categories_tags,nutriscore_grade,nova_group,off_source_sha256,off_acquired_at,off_last_modified_t,off_history_status,proof_metadata_sha256,proof_metadata_type,proof_prediction_count,year,month,day_of_week,proof_metadata_available
355,PRODUCT,3423182102411,,4.150,,EUR,2023-11-27,1,9880,SHOP_IMPORT,France,Grenoble,True,True,True,True,True,True,False,True,True,pur jus pomme framboise bio,Thomas Le Prince,"[""en:beverages-and-beverages-preparations"", ""en:plant-based-foods-and-beverages"", ""en:beverages"", ""en:fruit-based-foods-and-beverages"", ""en:plant-based-beverages"", ""en:fruit-based-beverages"", ""en:juices-and-nectars"", ""en:fruit-juices"", ""en:multifruit-juices""]",d,1.0,d0db609e5c045e822adffddf1c76db2d871627f5ea815751fcd0216e91ad4014,2026-09-06T22:58:21.457654+00:00,1773781785,NO_VERIFICABLE_HISTORICAMENTE,,,,2023,11,0,False
655,PRODUCT,3760020507916,,3.070,,EUR,2023-11-27,1,9880,SHOP_IMPORT,France,Grenoble,True,True,True,True,True,True,False,True,True,Gaufrettes chocolat,"Jardin Bio étic, Jardin biologique, Léa Nature","[""en:snacks"", ""en:desserts"", ""en:sweet-snacks"", ""en:biscuits-and-cakes"", ""en:biscuits-and-crackers"", ""en:biscuits"", ""en:wafers"", ""en:chocolate-biscuits"", ""en:stuffed-wafers"", ""en:chocolate-stuffed-wafers""]",e,3.0,d9cea108ffaf5dd04b2e00df5ad1901015599cd34b55021ed1fc14aee7cff222,2026-09-05T19:36:23.581606+00:00,1773441594,NO_VERIFICABLE_HISTORICAMENTE,,,,2023,11,0,False
999,PRODUCT,3443431503004,,6.350,,EUR,2023-12-18,2,1,PRICE_TAG,France,Paris,True,True,True,True,True,True,True,True,True,Poudre de cacao maigre biologique,Les Rois Mages,"[""en:cocoa-and-its-products"", ""en:cocoa-and-chocolate-powders"", ""en:cocoa-powders""]",unknown,1.0,c126eff15c206b04bbf51f37494d9d7315ce39955a20846a7f0aba6a573413df,2026-09-06T22:58:26.582736+00:00,1773703274,NO_VERIFICABLE_HISTORICAMENTE,ed4ac3816ec57380b354c1453b65e57903752df7c6462a8890b568102277ec64,PRICE_TAG,2,2023,12,0,True
1000,PRODUCT,3456300014556,,2.850,,EUR,2023-12-19,3,2,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,True,True,True,Fourrés Chocolat🍫,"Jardin Bio étic, jardin bio étic Léa Nature","[""en:snacks"", ""en:frozen-foods"", ""en:sweet-snacks"", ""en:biscuits-and-cakes"", ""en:biscuits-and-crackers"", ""en:biscuits"", ""en:filled-biscuits""]",d,3.0,28163a9aa69ae9dc57a947e50ab8cfa93c424eb067341d182af5a868ba9d1823,2026-09-06T22:58:37.175429+00:00,1788508142,NO_VERIFICABLE_HISTORICAMENTE,1f6513ce0868adfd6c701b0c880f853319edd5e64d1881dca7d3880cd33381ac,PRICE_TAG,2,2023,12,1,True
1001,PRODUCT,3760020507916,,3.160,,EUR,2023-12-19,3,3,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True,Gaufrettes chocolat,"Jardin Bio étic, Jardin biologique, Léa Nature","[""en:snacks"", ""en:desserts"", ""en:sweet-snacks"", ""en:biscuits-and-cakes"", ""en:biscuits-and-crackers"", ""en:biscuits"", ""en:wafers"", ""en:chocolate-biscuits"", ""en:stuffed-wafers"", ""en:chocolate-stuffed-wafers""]",e,3.0,d9cea108ffaf5dd04b2e00df5ad1901015599cd34b55021ed1fc14aee7cff222,2026-09-05T19:36:23.581606+00:00,1773441594,NO_VERIFICABLE_HISTORICAMENTE,,,,2023,12,1,False
1096,PRODUCT,3456300014556,,2.620,,EUR,2023-12-24,11,83,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True,Fourrés Chocolat🍫,"Jardin Bio étic, jardin bio étic Léa Nature","[""en:snacks"", ""en:frozen-foods"", ""en:sweet-snacks"", ""en:biscuits-and-cakes"", ""en:biscuits-and-crackers"", ""en:biscuits"", ""en:filled-biscuits""]",d,3.0,28163a9aa69ae9dc57a947e50ab8cfa93c424eb067341d182af5a868ba9d1823,2026-09-06T22:58:37.175429+00:00,1788508142,NO_VERIFICABLE_HISTORICAMENTE,,,,2023,12,6,False
1108,PRODUCT,3456300014556,,2.850,,EUR,2023-12-24,3,95,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True,Fourrés Chocolat🍫,"Jardin Bio étic, jardin bio étic Léa Nature","[""en:snacks"", ""en:frozen-foods"", ""en:sweet-snacks"", ""en:biscuits-and-cakes"", ""en:biscuits-and-crackers"", ""en:biscuits"", ""en:filled-biscuits""]",d,3.0,28163a9aa69ae9dc57a947e50ab8cfa93c424eb067341d182af5a868ba9d1823,2026-09-06T22:58:37.175429+00:00,1788508142,NO_VERIFICABLE_HISTORICAMENTE,,,,2023,12,6,False
1109,PRODUCT,3760020507916,,3.160,,EUR,2023-12-24,3,96,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True,Gaufrettes chocolat,"Jardin Bio étic, Jardin biologique, Léa Nature","[""en:snacks"", ""en:desserts"", ""en:sweet-snacks"", ""en:biscuits-and-cakes"", ""en:biscuits-and-crackers"", ""en:biscuits"", ""en:wafers"", ""en:chocolate-biscuits"", ""en:stuffed-wafers"", ""en:chocolate-stuffed-wafers""]",e,3.0,d9cea108ffaf5dd04b2e00df5ad1901015599cd34b55021ed1fc14aee7cff222,2026-09-05T19:36:23.581606+00:00,1773441594,NO_VERIFICABLE_HISTORICAMENTE,,,,2023,12,6,False
1124,PRODUCT,3760020507916,,3.150,,EUR,2023-12-24,12,112,PRICE_TAG,France,Échirolles,True,True,True,True,True,True,False,True,True,Gaufrettes chocolat,"Jardin Bio étic, Jardin biologique, Léa Nature","[""en:snacks"", ""en:desserts"", ""en:sweet-snacks"", ""en:biscuits-and-cakes"", ""en:biscuits-and-crackers"", ""en:biscuits"", ""en:wafers"", ""en:chocolate-biscuits"", ""en:stuffed-wafers"", ""en:chocolate-stuffed-wafers""]",e,3.0,d9cea108ffaf5dd04b2e00df5ad1901015599cd34b55021ed1fc14aee7cff222,2026-09-05T19:36:23.581606+00:00,1773441594,NO_VERIFICABLE_HISTORICAMENTE,,,,2023,12,6,False
1125,PRODUCT,3456300014556,,2.990,,EUR,2023-12-24,12,113,PRICE_TAG,France,Échirolles,True,True,True,True,True,True,False,True,True,Fourrés Chocolat🍫,"Jardin Bio étic, jardin bio étic Léa Nature","[""en:snacks"", ""en:frozen-foods"", ""en:sweet-snacks"", ""en:biscuits-and-cakes"", ""en:biscuits-and-crackers"", ""en:biscuits"", ""en:filled-biscuits""]",d,3.0,28163a9aa69ae9dc57a947e50ab8cfa93c424eb067341d182af5a868ba9d1823,2026-09-06T22:58:37.175429+00:00,1788508142,NO_VERIFICABLE_HISTORICAMENTE,,,,2023,12,6,False
