price_id,price_type,product_code,category_tag,price,price_per,currency,date,location_id,proof_id,proof_type,country,city,qc_price_positive,qc_currency_present,qc_date_present,qc_date_not_future,qc_date_valid,qc_proof_present,qc_proof_visual,qc_product_identity,qc_core_eligible
355,PRODUCT,3423182102411,,4.150,,EUR,2023-11-27,1,9880,SHOP_IMPORT,France,Grenoble,True,True,True,True,True,True,False,True,True
655,PRODUCT,3760020507916,,3.070,,EUR,2023-11-27,1,9880,SHOP_IMPORT,France,Grenoble,True,True,True,True,True,True,False,True,True
999,PRODUCT,3443431503004,,6.350,,EUR,2023-12-18,2,1,PRICE_TAG,France,Paris,True,True,True,True,True,True,True,True,True
1000,PRODUCT,3456300014556,,2.850,,EUR,2023-12-19,3,2,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,True,True,True
1001,PRODUCT,3760020507916,,3.160,,EUR,2023-12-19,3,3,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
1096,PRODUCT,3456300014556,,2.620,,EUR,2023-12-24,11,83,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
1108,PRODUCT,3456300014556,,2.850,,EUR,2023-12-24,3,95,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
1109,PRODUCT,3760020507916,,3.160,,EUR,2023-12-24,3,96,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
1124,PRODUCT,3760020507916,,3.150,,EUR,2023-12-24,12,112,PRICE_TAG,France,Échirolles,True,True,True,True,True,True,False,True,True
1125,PRODUCT,3456300014556,,2.990,,EUR,2023-12-24,12,113,PRICE_TAG,France,Échirolles,True,True,True,True,True,True,False,True,True
1142,PRODUCT,3456300014556,,2.850,,EUR,2023-12-26,14,133,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
1143,PRODUCT,3760020507916,,2.820,,EUR,2023-12-26,14,134,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
1438,PRODUCT,2006050063055,,4.290,,EUR,2024-01-05,27,445,RECEIPT,France,Levallois-Perret,True,True,True,True,True,True,True,True,True
1439,PRODUCT,2006050027217,,2.690,,EUR,2024-01-05,27,446,RECEIPT,France,Levallois-Perret,True,True,True,True,True,True,True,True,True
2457,PRODUCT,3456300014556,,2.050,,EUR,2020-09-18,44,1467,PRICE_TAG,France,Thiais,True,True,True,True,True,True,False,True,True
5101,PRODUCT,5000112611878,,1.990,,EUR,2024-02-10,43,2377,PRICE_TAG,France,Marcq-en-Barœul,True,True,True,True,True,True,False,True,True
5108,PRODUCT,3456300014556,,2.370,,EUR,2024-02-10,34,2382,RECEIPT,France,Bresson,True,True,True,True,True,True,False,True,True
5110,PRODUCT,3760020507916,,3.060,,EUR,2024-02-10,34,2382,RECEIPT,France,Bresson,True,True,True,True,True,True,False,True,True
5268,PRODUCT,3770018078151,,3.390,,EUR,2024-02-10,121,2414,RECEIPT,France,Lyon,True,True,True,True,True,True,True,True,True
5567,PRODUCT,3456300014556,,2.790,,EUR,2024-02-12,126,2660,PRICE_TAG,France,Lille,True,True,True,True,True,True,False,True,True
5845,PRODUCT,3038353911909,,2.250,,EUR,2024-02-14,126,2919,PRICE_TAG,France,Lille,True,True,True,True,True,True,False,True,True
5950,PRODUCT,5000112611878,,1.970,,EUR,2024-02-15,150,3006,PRICE_TAG,France,Lille,True,True,True,True,True,True,False,True,True
6123,PRODUCT,3384110004736,,2.300,,EUR,2018-03-27,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
6124,PRODUCT,3596710435791,,0.470,,EUR,2018-03-27,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
6190,PRODUCT,3384110004736,,2.300,,EUR,2018-05-03,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
6381,PRODUCT,3384110004736,,2.300,,EUR,2018-08-09,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
6522,PRODUCT,3384110004736,,2.300,,EUR,2018-09-28,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
6557,PRODUCT,3384110004736,,2.300,,EUR,2018-10-09,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
6563,PRODUCT,3038359004544,,0.650,,EUR,2018-10-09,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
6729,PRODUCT,3038359004544,,0.650,,EUR,2018-11-09,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
6780,PRODUCT,3384110004736,,2.300,,EUR,2018-11-30,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
6923,PRODUCT,3384110004736,,2.300,,EUR,2018-12-29,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
7054,PRODUCT,3384110004736,,2.300,,EUR,2019-01-25,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
7104,PRODUCT,3384110004736,,2.300,,EUR,2019-02-14,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
7237,PRODUCT,3384110004736,,2.300,,EUR,2019-04-12,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
7273,PRODUCT,3384110004736,,2.300,,EUR,2019-04-26,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
7316,PRODUCT,3384110004736,,2.300,,EUR,2019-05-17,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
7548,PRODUCT,3384110004736,,2.000,,EUR,2019-09-05,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
7626,PRODUCT,3384110004736,,2.000,,EUR,2019-10-17,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
7751,PRODUCT,3384110004736,,2.000,,EUR,2019-12-03,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
8029,PRODUCT,3384110004736,,2.000,,EUR,2020-03-03,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
8989,PRODUCT,3302740047312,,2.690,,EUR,2021-05-27,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True
